Actions,アクション,
Action,操作,
Activity,アクティビティ,
Add User,ユーザーを追加,
Added to favorites,お気に入りに追加しました,
Allowed Extensions,許可する拡張子,
Auto-saved before restore,復元前に自動保存済み,
Cannot move a folder into itself.,フォルダを自身の中に移動することはできません。,
Click to open full size,クリックしてフルサイズで表示,
Color,色,
Comment,コメント,
Copied!,コピーしました！,
Copy,コピー,
Created By,作成者,
Current,最新,
Current version,現在のバージョン,
Date,日付,
Delete,削除,
Deleted By,削除者,
Deleted On,削除日時,
Description,説明,
Details,詳細,
Download,ダウンロード,
"Download — {0}",ダウンロード — {0},
Drive File,ドライブファイル,
Drive Tag,ドライブタグ,
Drop file here or click to upload,ここにファイルをドロップまたはクリックしてアップロード,
Enable Versioning,バージョン管理を有効にする,
"Enter password",パスワードを入力,
"Expires in (days)",有効期限（日数）,
"Expires On",有効期限,
"Expires: {0}","有効期限: {0}",
Extension,拡張子,
Favorited DocType,お気に入りDocType,
Favorited Name,お気に入り名,
file,ファイル,
File Info,ファイル情報,
File Name,ファイル名,
"File name is required.",ファイル名は必須です。,
"File not found.",ファイルが見つかりません。,
File Page URL,ファイルページURL,
File Size,ファイルサイズ,
"File size {0} MB exceeds maximum allowed {1} MB.",ファイルサイズ {0} MB が上限 {1} MB を超えています。,
File Too Large,ファイルが大きすぎます,
"File type '.{0}' is not allowed. Allowed types: {1}",ファイル形式「.{0}」は許可されていません。許可形式: {1},
File Type Not Allowed,許可されていないファイル形式,
File URL,ファイルURL,
"File URL not found.",ファイルURLが見つかりません。,
"File URL not found for this version.",このバージョンのファイルURLが見つかりません。,
"File uploaded: {0}",ファイルをアップロードしました: {0},
File will be saved to Drive automatically,ファイルは自動的にドライブに保存されます,
folder,フォルダ,
Folder,フォルダ,
Folder Name,フォルダ名,
"Folder {0} does not exist.",フォルダ {0} が存在しません。,
Generate Download Link,ダウンロードリンクを生成,
"Incorrect password.",パスワードが正しくありません。,
"Incorrect password. Please try again.",パスワードが正しくありません。もう一度お試しください。,
"Invalid doctype for favorite.",お気に入り対象のDocTypeが無効です。,
"Invalid doctype for sharing.",共有対象のDocTypeが無効です。,
"Invalid doctype for trash.",ゴミ箱対象のDocTypeが無効です。,
"Invalid or expired share link.",無効または期限切れの共有リンクです。,
Is Private,非公開,
